表情：🪪	身份证
表情：🙏	祈福
表情：🙏	祝福
表情：🙏	祈祷
表情：🙏	谢谢
表情：🙏	感谢
表情：🤝	握手
表情：🫲	左手
表情：🫱	右手
表情：💅	指甲油
表情：👂	耳
表情：👂	耳朵
表情：👂	听
表情：👃	鼻
表情：👃	鼻子
表情：👃	闻
表情：👣	脚印
表情：👀	眼
表情：👀	眼睛
表情：👀	看
表情：👀	瞧
表情：🧠	脑
表情：🧠	大脑
表情：🦴	骨
表情：🦷	牙
表情：🦷	牙齿
表情：🪥	牙刷
表情：👅	舌头
表情：👅	舌
表情：👄	嘴
表情：👄	口
表情：👄	嘴唇
表情：💋	唇印
表情：👓	眼镜
表情：🕶	太阳镜
表情：🕶	墨镜
表情：🥽	护目镜
表情：🥼	实验服
表情：👔	领带
表情：👕	T恤
表情：👕	T恤衫
表情：👖	牛仔裤
表情：👖	裤
表情：👖	裤子
表情：🧣	围巾
表情：🧤	手套
表情：🧥	外套
表情：🧦	袜子
表情：👗	裙子
表情：👗	连衣裙
表情：🩱	泳衣
表情：🩲	内裤
表情：🩳	短裤
表情：🥻	莎丽
表情：🦺	救生
表情：👘	和服
表情：👙	比基尼
表情：👜	包
表情：🎒	书包
表情：👛	钱包
表情：💰	钱袋
表情：👞	鞋
表情：👡	凉鞋
表情：🩴	拖鞋
表情：🩴	人字拖
表情：👑	王冠
表情：👒	帽子
表情：👒	帽
表情：🪭	扇子
表情：🪭	扇
表情：🪮	梳子
表情：🪈	笛
表情：🎓	学位
表情：⛑	安全帽
表情：🪖	头盔
表情：💄	口红
表情：💍	戒指
表情：🧳	行李
表情：🌂	雨伞
表情：☔	下雨
表情：⛱	伞
表情：🎃	南瓜
表情：🎃	南瓜灯
表情：💼	公文包
表情：🧵	线
表情：🧶	毛线
表情：🐵	猴子
表情：🙈	看不见
表情：🙈	不看
表情：🙉	听不见
表情：🙉	不听
表情：🐵	猴
表情：💥	碰撞
表情：💥	爆炸
表情：😓	汗
表情：😓	流汗
表情：💦	汗水
表情：😓	出汗
表情：🦍	猩猩
表情：🦍	黑猩猩
表情：🐕	狗
表情：🦮	导盲犬
表情：🦮	服务犬
表情：🦥	树懒
表情：🦦	水獭
表情：🦨	臭鼬
表情：🦩	火烈鸟
表情：🦆	禽
表情：🦆	家禽
表情：🐺	狼
表情：🦊	狐狸
表情：🦊	狐
表情：🦝	浣熊
表情：🦭	海豹
表情：🦁	狮子
表情：🦁	狮
表情：🐯	虎
表情：🐯	老虎
表情：🐆	豹
表情：🫏	驴
表情：🐆	美洲豹
表情：🐎	马
表情：🦄	独角兽
表情：🦓	斑马
表情：🐂	牛
表情：🐄	奶牛
表情：🐃	水牛
表情：🦬	野牛
表情：🐷	猪
表情：🐗	野猪
表情：🐏	羊
表情：🐐	山羊
表情：🐑	绵羊
表情：🐪	骆驼
表情：🦙	美洲驼
表情：🦙	羊驼
表情：🦙	草泥马
表情：🦫	河狸
表情：🦒	长颈鹿
表情：🐘	象
表情：🐘	大象
表情：🦣	猛犸
表情：🦣	毛象
表情：🦏	犀牛
表情：🦛	河马
表情：🐭	鼠
表情：🐭	老鼠
表情：🐿	松鼠
表情：🐹	仓鼠
表情：🐰	兔
表情：🐰	兔子
表情：🦔	刺猬
表情：🐻	熊
表情：🐨	考拉
表情：🐨	树袋熊
表情：🐼	熊猫
表情：🦘	袋鼠
表情：🦡	獾
表情：🐾	爪
表情：🐾	爪印
表情：🦃	火鸡
表情：🐔	鸡
表情：🐓	公鸡
表情：🐦	鸟
表情：🪹	鸟巢
表情：🐧	企鹅
表情：🕊	鸽
表情：🕊	鸽子
表情：🦅	鹰
表情：🦅	老鹰
表情：🦆	鸭
表情：🦆	鸭子
表情：🪿	鹅
表情：🦢	天鹅
表情：🦉	猫头鹰
表情：🦇	蝙蝠
表情：🦚	孔雀
表情：🦜	鹦鹉
表情：🐸	青蛙
表情：🪲	甲虫
表情：🪳	蟑螂
表情：🐸	蛙
表情：🐸	蛤蟆
表情：🐊	鳄鱼
表情：🐢	龟
表情：𓆉	海龟
表情：🐢	乌龟
表情：𓆐	蝌蚪
表情：🦎	蜥蜴
表情：🦎	壁虎
表情：🐍	蛇
表情：𓆗	眼镜蛇
表情：🐲	龙
表情：🦖	恐龙
表情：🦖	霸王龙
表情：🐳	鲸鱼
表情：🐳	鲸
表情：🐬	海豚
表情：🐟	鱼
表情：🐡	河豚
表情：🦈	鲨鱼
表情：🐙	章鱼
表情：🐚	贝壳
表情：🐚	海螺
表情：🏖	海
表情：🏖	海边
表情：🪸	珊瑚
表情：🦀	螃蟹
表情：🦞	龙虾
表情：🦐	虾
表情：🦑	乌贼
表情：🦑	鱿鱼
表情：🪼	水母
表情：🪼	海蜇
表情：🐌	蜗牛
表情：🦋	蝴蝶
表情：🐛	虫子
表情：🐛	虫
表情：🪱	蠕虫
表情：🪱	蚯蚓
表情：🐛	毛毛虫
表情：🐜	蚂蚁
表情：🐝	蜜蜂
表情：🐞	瓢虫
表情：🐞	七星瓢虫
表情：🐞	花大姐
表情：🪰	苍蝇
表情：𓆨	蜈蚣
表情：🦗	蟋蟀
表情：𓆧	蚱蜢
表情：🕷	蜘蛛
表情：🕸	蜘蛛网
表情：🦂	蝎子
表情：🦟	蚊子
表情：🦟	蚊
表情：🦠	细菌
表情：🦠	微生物
表情：🦠	病菌
表情：🦠	病毒
表情：💐	花
表情：🪷	莲花
表情：🪷	荷花
表情：💐	花束
表情：🌸	樱花
表情：🌹	玫瑰
表情：🥀	枯萎
表情：🥀	凋零
表情：🥀	凋谢
表情：🌻	太阳花
表情：🌻	向日葵
表情：🌻	葵花
表情：🌷	郁金香
表情：🌼	扶桑
表情：🌱	树苗
表情：🌱	幼苗
表情：🪴	盆栽
表情：🌳	树
表情：🌲	松树
表情：🌴	棕榈
表情：🌵	仙人掌
表情：🌾	稻子
表情：🌾	水稻
表情：🌾	稻
表情：🌾	大米
表情：🌿	药草
表情：☘	三叶草
表情：🍀	四叶草
表情：🍀	幸运草
表情：🫛	碗豆
表情：🫛	碗豆荚
表情：🍁	枫叶
表情：🍂	落叶
表情：🍃	叶子
表情：🍃	叶
表情：🪻	风信子
表情：🍄	蘑菇
表情：🌰	栗子
表情：🌍	地球
表情：🪐	土星
表情：🌝	月亮
表情：🌝	月球
表情：🌕	满月
表情：🌑	月食
表情：🌙	新月
表情：🌙	弦月
表情：🌙	月牙
表情：🌓	上弦
表情：🌗	下弦
表情：🌞	太阳
表情：☀	晴天
表情：🌞	光明
表情：⭐	星星
表情：*	星
表情：🌠	流星
表情：☄	彗星
表情：☁	云
表情：⛅	多云
表情：⛅	阴天
表情：☁	云彩
表情：🌪	龙卷风
表情：🌫	雾
表情：🌬	风
表情：🌈	彩虹
表情：⚡	闪电
表情：⚡	电
表情：⚡	雷电
表情：⚡	雷
表情：❄	雪
表情：🌨	下雪
表情：❄	雪花
表情：☃	雪人
表情：🔥	火
表情：🔥	火焰
表情：💧	水
表情：💧	水滴
表情：🌊	波浪
表情：🌊	浪
