表情：🪪	身份证
表情：🔂	单曲
表情：🔀	随机
表情：📛	徽章
表情：❌	叉
表情：🔱	戟
表情：✔	勾
表情：🔰	新手
表情：✅	对勾
表情：✔️	正确
表情：❌	错
表情：❌	错误
表情：➕	加
表情：➖	减
表情：&	和
表情：∑	求和
表情：✖	乘
表情：➗	除
表情：#	井
表情：=	等于
表情：=	等号
表情：<	小于
表情：>	大于
表情：≤	小于等于
表情：≥	大于等于
表情：≠	不等于
表情：≠	不等
表情：❓	问号
表情：😕	疑问
表情：😖	呸
表情：❗	叹号
表情：😮	惊叹
表情：😮	惊讶
表情：💯	百分
表情：卍	万
表情：💯	满分
表情：🆎	血型
表情：🔤	字母
表情：🆘	求救
表情：🆔	身份
表情：🅿	停车
表情：ℹ	信息
表情：🪵	木头
表情：🈯	指
表情：☐	方框
表情：☐	正方形
表情：☐	方块
表情：◇	菱形
表情：△	三角
表情：⚪	圆
表情：⚪	圆形
表情：🌉	桥
表情：🏁	旗帜
表情：🏁	旗子
表情：🚩	红旗
表情：🏁	旗
